name,price,mileage,engine_cc,kilometer_run,types,age
pleasure scooter,62000,35.0,110.0,4020.0,0.0,12.0
NS 200,14000000,35.0,200.0,54000.0,1.0,9.0
Bajaj Ns 160cc like new 90 lot 9803656430,110000,45.0,160.0,33516.0,1.0,8.0
pulsar 220,220000,40.0,220.0,30000.0,1.0,4.0
Reborn 350,415000,32.0,350.0,19000.0,1.0,2.0
TVS Ntorq 125,150000,45.0,125.0,23940.0,0.0,6.0
bullet 78 lot on sale or exchange,100,33.5,350.0,40000.0,1.0,9.0
bullet 105 lot on sale or exchange,100,33.5,350.0,100000.0,1.0,6.0
one hand bullet 88 lot sele or exchange,100,33.5,350.0,38000.0,1.0,8.0
Unicorn 150,50000,40.0,150.0,61000.0,1.0,17.0
JAWA CLASSIC,290000,36.0,300.0,14364.0,1.0,4.0
bullet on sale or exchange,100,33.5,350.0,48000.0,1.0,9.0
KTM duke2000 BS4 On Sale,233000,30.0,200.0,26000.0,1.0,9.0
single hand bullet 2018 on sale or exchange,100,33.5,350.0,53.0,1.0,7.0
146 lot rayzr urgent sell,229000,55.0,125.0,15000.0,0.0,2.0
Honda Dio 67 lot on sale,89000,30.0,110.0,31000.0,0.0,10.0
Yamaha MT 15,390000,48.0,155.0,23000.0,1.0,3.0
Suzuki Burgman 125cc 109 lot fully fres 9803656430,125000,35.0,125.0,23940.0,0.0,6.0
Pulsar 220f Abs 131 lot like new condtn 9803656430,240000,35.0,220.0,28000.0,1.0,4.0
Ns 200 Like new 152 lot super fresh 9803656430,140000,35.0,200.0,30000.0,1.0,7.0
FZ V3 Urgent Sale,275000,40.0,150.0,19000.0,1.0,4.0
Yamaha MT-15    Fully fresh & well maintained,315000,45.0,155.0,18300.0,1.0,6.0
Aviator,115000,40.0,110.0,33516.0,0.0,8.0
Yamaha Saluto 2017model seal engine,105000,45.0,125.0,33516.0,1.0,8.0
Ntorq 125 fi (037) lastai sasto price ma,210000,40.0,125.0,24300.0,0.0,3.0
cx250 lot 121 dirt rim super fresh condition,420000,25.0,250.0,12000.0,1.0,4.0
duke 200 on sale in good condition .fully fresh xa,291000,35.0,200.0,33516.0,1.0,8.0
Suzuki Gixxer 110 lot fresh bike   9813296721,145000,45.0,155.0,23940.0,1.0,6.0
NS 200 Fi ABS,270000,35.0,200.0,34000.0,1.0,6.0
fzv2 dubble dis,190000,45.0,150.0,37.0,1.0,6.0
Apache RTR 200 4v,190000,35.0,200.0,26000.0,1.0,5.0
very fresh bullet  sale or exchange ,100,33.5,350.0,48000.0,1.0,8.0
Discover bike for sale,33000,45.0,125.0,61000.0,1.0,19.0
Aviator scooter for sale,88000,40.0,110.0,38304.0,0.0,9.0
R15v3 2020 Last Model 9865466320,275000,45.0,155.0,100000.0,1.0,5.0
 Fresh Honda Grazia 125cc Scooty on Urgent Sale,125000,35.0,125.0,23940.0,0.0,6.0
Nk 250 single hand ,249000,30.0,250.0,30.0,1.0,6.0
Cbr 250cc sell an exchange fi abs ,219000,34.0,250.0,0.0,1.0,12.0
Rs 200cc full fresh sell an exchange ,165000,38.0,200.0,43674.0,1.0,10.0
YAMAHA RAY Z 113(FIXED PRICE WITH OFFER),107999,40.0,113.0,3500.0,0.0,6.0
Cx 250r,560000,25.0,250.0,15000.0,1.0,3.0
220 pulsar non vizer sell an exchange ,88000,35.0,220.0,35466.0,1.0,15.0
Apache 180cc sell an exchange fresh ,93000,35.0,180.0,0.0,1.0,12.0
Duke 200cc sell an exchange 71lot,219000,32.0,200.0,38564.0,1.0,10.0
Honda Dio Scooty,210000,40.0,110.0,22.0,0.0,3.0
Grazia 125 ,150000,38.0,125.0,27000.0,0.0,6.0
I Smart Splinder Super Fresh Condicion Urgent Sell,90000,45.0,125.0,23940.0,1.0,6.0
 Full Fresh Scootyy,75000,45.0,110.0,45000.0,0.0,10.0
Discover 125 St Lot 007,105000,42.0,125.0,26000.0,1.0,6.0
Tvs Ntorq race Edition (117 lot),154000,45.0,125.0,24000.0,0.0,5.0
Royal Enfield classic 350 (107),459000,33.5,350.0,14000.0,1.0,6.0
Royal Enfield On Urgent Sale,500000,33.5,350.0,18000.0,1.0,7.0
bajaj N160 for sale,240000,45.0,160.0,26000.0,1.0,2.0
Dio 2083 Kar Clar Insurance Clar Fix Price,112500,35.0,110.0,38200.0,0.0,8.0
114 lot 220 pulsar,185000,35.0,220.0,57000.0,1.0,6.0
Avenger 160 Abs street,199999,35.0,160.0,14000.0,1.0,4.0
Honda cb shine,180000,55.0,125.0,26500.0,1.0,4.0
Pulsar 150,135000,40.0,150.0,33516.0,1.0,8.0
"Bajaj Avenger 220 – Like Brand New
Only 16 000 km",130000,45.0,220.0,16000.0,1.0,11.0
Xr 190 Fi (006)lot sasto ma ayo hai,455000,40.0,190.0,28728.0,1.0,7.0
Fzs v2,140000,45.0,150.0,25000.0,1.0,9.0
HONDA DIO SCOOTER,140000,40.0,110.0,34600.0,0.0,7.0
TVS Raider 046 Lot 2023 Last Model for sale ‼️‼️,185000,50.0,125.0,18000.0,1.0,2.0
Pulsar 220,140000,40.0,220.0,46000.0,1.0,8.0
Tvs Ntorq Xp Fi on Sale,235000,45.0,125.0,15000.0,0.0,2.0
Sale bike FZS V3 gray colour ,350000,45.0,150.0,12800.0,1.0,1.0
Royal Enfield Classic 350 | Bullet 350 | 011 Lot ,475000,33.5,350.0,29000.0,1.0,6.0
Suzuki Gixxer 250,200000,40.0,250.0,39000.0,1.0,6.0
Bajaj Pulsar 150 06 Lot 23000 KM only,220000,35.0,150.0,23000.0,1.0,6.0
145 Lot Yamaha Z.R Hybrid Scooter Sell Ma Xa,230000,55.0,125.0,11300.0,1.0,2.0
Honda nx200,420000,45.0,200.0,20000.0,1.0,2.0
Honda dio sale. Or exchange   Ramro  condition ma ,85000,40.0,110.0,44.0,0.0,12.0
Honda aviator 1st hand 65 lat 9849686911,87500,45.0,110.0,23560.0,1.0,10.0
Fresh NS 200 FI ABS on sale,195000,35.0,200.0,39000.0,1.0,5.0
Nk 250,247000,30.0,250.0,40340.0,1.0,6.0
Pulsar Abs  n150,320,60.0,150.0,3600.0,1.0,1.0
Fzs V2,240000,45.0,149.0,9576.0,1.0,3.0
TVs Ntroq With Disk On Urgent Sale,137000,35.0,125.0,22000.0,0.0,6.0
Single Hand Bajaj Pulsar 150 On Urgent Sale,112000,45.0,150.0,32000.0,1.0,8.0
pulsar 220f 131 lot,248000,35.0,220.0,14364.0,1.0,4.0
Bajaj 220F pulsar Abs Single Hand 2022 model 038,260000,35.0,220.0,16500.0,1.0,3.0
